Pixel Index,ANOVA Score,p-value,Status,Rank
1449,25.052067756360067,2.947431904273313e-29,Kept,50.0
1361,24.99009144197214,3.506146439852281e-29,Kept,51.0
1499,24.953583614136384,3.883635228491833e-29,Kept,52.0
696,24.911186390890887,4.373326378954486e-29,Kept,53.0
1599,24.870471685193184,4.901622444813162e-29,Kept,54.0
1647,24.83957973020966,5.344653682290371e-29,Kept,55.0
1357,24.713820738306723,7.601700117355636e-29,Kept,56.0
1648,24.668282485673064,8.63599952098189e-29,Kept,57.0
1353,24.487620008863924,1.4325849734986142e-28,Kept,58.0
1210,24.477434034793653,1.4740562891505643e-28,Kept,59.0
1547,24.322877718705495,2.272883025079761e-28,Kept,60.0
1313,24.271601924034794,2.62405227526816e-28,Kept,61.0
1305,24.269389596817796,2.6403689060614695e-28,Kept,62.0
1694,24.26337996599384,2.685205935999259e-28,Kept,63.0
1165,24.239020195503677,2.8748865136908802e-28,Kept,64.0
1261,24.158918905557517,3.5983019316530603e-28,Kept,65.0
1311,24.078786691898355,4.504183755624421e-28,Kept,66.0
1498,23.912476948425656,7.178314569598331e-28,Kept,67.0
1166,23.906581493023975,7.297898545485835e-28,Kept,68.0
1409,23.8170526769861,9.379193472459611e-28,Kept,69.0
2173,23.80425500349984,9.721700371593857e-28,Kept,70.0
1312,23.77799165070244,1.0464273166500775e-27,Kept,71.0
695,23.672777716283814,1.4053217008813043e-27,Kept,72.0
1257,23.666105810649704,1.4318483572230953e-27,Kept,73.0
2174,23.529394937079484,2.1004466534751606e-27,Kept,74.0
1358,23.512738138579156,2.2008388870891915e-27,Kept,75.0
792,23.457306668034928,2.570792212221209e-27,Kept,76.0
2222,23.40723139955376,2.95819514958479e-27,Kept,77.0
1214,23.30221026504834,3.97081911807805e-27,Kept,78.0
1457,23.29642344558718,4.0357585542263075e-27,Kept,79.0
1741,23.242004244466507,4.7008653818819e-27,Kept,80.0
1262,23.21513191859765,5.068670700858817e-27,Kept,81.0
1310,23.207001785913086,5.185520381088225e-27,Kept,82.0
1497,23.183049076244192,5.545675687663284e-27,Kept,83.0
1309,23.174381068032964,5.6820850562501025e-27,Kept,84.0
1600,23.093313666587253,7.131957561045665e-27,Kept,85.0
697,23.016057951074885,8.856700894403593e-27,Kept,86.0
745,22.99898915035926,9.290831916958092e-27,Kept,87.0
1263,22.908330981167552,1.197954910559802e-26,Kept,88.0
743,22.85126855872172,1.4057948755945338e-26,Kept,89.0
1692,22.8035603621539,1.6069949440440337e-26,Kept,90.0
1209,22.7664134432091,1.7833956054613846e-26,Kept,91.0
1546,22.710665855246262,2.0851233704604616e-26,Kept,92.0
1162,22.660469505739805,2.400254137017266e-26,Kept,93.0
1115,22.58639360844893,2.95436037918614e-26,Kept,94.0
1553,22.560700929843932,3.1750559788488307e-26,Kept,95.0
2270,22.551030424560306,3.262330554959136e-26,Kept,96.0
2125,22.512007890486853,3.6395638242040157e-26,Kept,97.0
1643,22.399064661818656,4.99567703010085e-26,Kept,98.0
793,22.374432481590045,5.352944042043343e-26,Kept,99.0
1505,22.352798554590684,5.687741133238415e-26,Kept,100.0
1695,22.235462540967816,7.903909241483753e-26,Kept,101.0
1265,22.159802221258825,9.772158195609668e-26,Kept,102.0
1595,22.118798326095817,1.096304013495604e-25,Kept,103.0
